Date,Emergencies,Per Cap Emergencies,income0,income1,income2,income3,income4,income5,Precipitation,Snow,Tmax,Tmin,Awnd,Avg Precipitation,Avg Snow,Avg Tmax,Avg Tmin,Avg Awnd,Yester Precipitation,Yester Snow,Yester Tmax,Yester Tmin,Yester Awnd,Avg Low,Avg High
20131112,3,1.8798523689272935e-05,0,0,0,0,1,0,0.08,0,50,29,13.65,0.047142857142857146,0.0,46.57142857142857,32.57142857142857,10.961428571428572,0,0,53,41,12.75,39,53
20131112,5,3.159976995367474e-05,0,0,0,0,0,1,0.08,0,50,29,13.65,0.047142857142857146,0.0,46.57142857142857,32.57142857142857,10.961428571428572,0,0,53,41,12.75,39,53
20131113,0,0.0,1,0,0,0,0,0,0,0,38,26,12.75,0.015714285714285715,0.0,42.285714285714285,30.142857142857142,10.801428571428572,0.08,0,50,29,13.65,39,53
20131113,4,3.20666987333654e-05,0,1,0,0,0,0,0,0,38,26,12.75,0.015714285714285715,0.0,42.285714285714285,30.142857142857142,10.801428571428572,0.08,0,50,29,13.65,39,53
20131113,1,1.317037193130334e-05,0,0,1,0,0,0,0,0,38,26,12.75,0.015714285714285715,0.0,42.285714285714285,30.142857142857142,10.801428571428572,0.08,0,50,29,13.65,39,53
20131113,2,1.6477722119694175e-05,0,0,0,1,0,0,0,0,38,26,12.75,0.015714285714285715,0.0,42.285714285714285,30.142857142857142,10.801428571428572,0.08,0,50,29,13.65,39,53
20131113,2,1.2532349126181957e-05,0,0,0,0,1,0,0,0,38,26,12.75,0.015714285714285715,0.0,42.285714285714285,30.142857142857142,10.801428571428572,0.08,0,50,29,13.65,39,53
20131113,2,1.2639907981469895e-05,0,0,0,0,0,1,0,0,38,26,12.75,0.015714285714285715,0.0,42.285714285714285,30.142857142857142,10.801428571428572,0.08,0,50,29,13.65,39,53
20131114,4,6.05317716136257e-05,1,0,0,0,0,0,0,0,52,30,11.86,0.015714285714285715,0.0,42.57142857142857,29.0,10.578571428571427,0,0,38,26,12.75,39,52
20131114,4,3.20666987333654e-05,0,1,0,0,0,0,0,0,52,30,11.86,0.015714285714285715,0.0,42.57142857142857,29.0,10.578571428571427,0,0,38,26,12.75,39,52
20131114,4,5.268148772521336e-05,0,0,1,0,0,0,0,0,52,30,11.86,0.015714285714285715,0.0,42.57142857142857,29.0,10.578571428571427,0,0,38,26,12.75,39,52
20131114,3,2.471658317954126e-05,0,0,0,1,0,0,0,0,52,30,11.86,0.015714285714285715,0.0,42.57142857142857,29.0,10.578571428571427,0,0,38,26,12.75,39,52
20131114,2,1.2532349126181957e-05,0,0,0,0,1,0,0,0,52,30,11.86,0.015714285714285715,0.0,42.57142857142857,29.0,10.578571428571427,0,0,38,26,12.75,39,52
20131114,3,1.895986197220484e-05,0,0,0,0,0,1,0,0,52,30,11.86,0.015714285714285715,0.0,42.57142857142857,29.0,10.578571428571427,0,0,38,26,12.75,39,52
20131115,5,7.566471451703213e-05,1,0,0,0,0,0,0,0,62,38,8.72,0.015714285714285715,0.0,44.714285714285715,29.428571428571427,10.162857142857144,0,0,52,30,11.86,38,52
20131115,6,4.81000481000481e-05,0,1,0,0,0,0,0,0,62,38,8.72,0.015714285714285715,0.0,44.714285714285715,29.428571428571427,10.162857142857144,0,0,52,30,11.86,38,52
20131115,1,1.317037193130334e-05,0,0,1,0,0,0,0,0,62,38,8.72,0.015714285714285715,0.0,44.714285714285715,29.428571428571427,10.162857142857144,0,0,52,30,11.86,38,52
20131115,1,8.238861059847087e-06,0,0,0,1,0,0,0,0,62,38,8.72,0.015714285714285715,0.0,44.714285714285715,29.428571428571427,10.162857142857144,0,0,52,30,11.86,38,52
20131115,3,1.8798523689272935e-05,0,0,0,0,1,0,0,0,62,38,8.72,0.015714285714285715,0.0,44.714285714285715,29.428571428571427,10.162857142857144,0,0,52,30,11.86,38,52
20131115,3,1.895986197220484e-05,0,0,0,0,0,1,0,0,62,38,8.72,0.015714285714285715,0.0,44.714285714285715,29.428571428571427,10.162857142857144,0,0,52,30,11.86,38,52
20131116,0,0.0,1,0,0,0,0,0,0,0,59,40,5.37,0.011428571428571429,0.0,44.857142857142854,29.142857142857142,9.299999999999999,0,0,62,38,8.72,38,52
20131116,1,8.01667468334135e-06,0,1,0,0,0,0,0,0,59,40,5.37,0.011428571428571429,0.0,44.857142857142854,29.142857142857142,9.299999999999999,0,0,62,38,8.72,38,52
20131116,1,1.317037193130334e-05,0,0,1,0,0,0,0,0,59,40,5.37,0.011428571428571429,0.0,44.857142857142854,29.142857142857142,9.299999999999999,0,0,62,38,8.72,38,52
20131116,3,2.471658317954126e-05,0,0,0,1,0,0,0,0,59,40,5.37,0.011428571428571429,0.0,44.857142857142854,29.142857142857142,9.299999999999999,0,0,62,38,8.72,38,52
20131116,5,3.1330872815454893e-05,0,0,0,0,1,0,0,0,59,40,5.37,0.011428571428571429,0.0,44.857142857142854,29.142857142857142,9.299999999999999,0,0,62,38,8.72,38,52
20131116,2,1.2639907981469895e-05,0,0,0,0,0,1,0,0,59,40,5.37,0.011428571428571429,0.0,44.857142857142854,29.142857142857142,9.299999999999999,0,0,62,38,8.72,38,52
20131117,0,0.0,1,0,0,0,0,0,0.04,0,55,38,3.36,0.017142857142857144,0.0,45.142857142857146,28.714285714285715,7.958571428571429,0,0,59,40,5.37,38,51
20131117,1,8.01667468334135e-06,0,1,0,0,0,0,0.04,0,55,38,3.36,0.017142857142857144,0.0,45.142857142857146,28.714285714285715,7.958571428571429,0,0,59,40,5.37,38,51
20131117,2,2.634074386260668e-05,0,0,1,0,0,0,0.04,0,55,38,3.36,0.017142857142857144,0.0,45.142857142857146,28.714285714285715,7.958571428571429,0,0,59,40,5.37,38,51
20131117,0,0.0,0,0,0,1,0,0,0.04,0,55,38,3.36,0.017142857142857144,0.0,45.142857142857146,28.714285714285715,7.958571428571429,0,0,59,40,5.37,38,51
20131117,1,6.2661745630909785e-06,0,0,0,0,1,0,0.04,0,55,38,3.36,0.017142857142857144,0.0,45.142857142857146,28.714285714285715,7.958571428571429,0,0,59,40,5.37,38,51
20131117,1,6.3199539907349474e-06,0,0,0,0,0,1,0.04,0,55,38,3.36,0.017142857142857144,0.0,45.142857142857146,28.714285714285715,7.958571428571429,0,0,59,40,5.37,38,51
20131118,3,4.539882871021928e-05,1,0,0,0,0,0,0.15,0,67,50,13.42,0.027142857142857142,0.0,47.57142857142857,31.714285714285715,7.925714285714286,0.04,0,55,38,3.36,37,51
20131118,3,2.405002405002405e-05,0,1,0,0,0,0,0.15,0,67,50,13.42,0.027142857142857142,0.0,47.57142857142857,31.714285714285715,7.925714285714286,0.04,0,55,38,3.36,37,51
20131118,2,2.634074386260668e-05,0,0,1,0,0,0,0.15,0,67,50,13.42,0.027142857142857142,0.0,47.57142857142857,31.714285714285715,7.925714285714286,0.04,0,55,38,3.36,37,51
20131118,0,0.0,0,0,0,1,0,0,0.15,0,67,50,13.42,0.027142857142857142,0.0,47.57142857142857,31.714285714285715,7.925714285714286,0.04,0,55,38,3.36,37,51
20131118,4,2.5064698252363914e-05,0,0,0,0,1,0,0.15,0,67,50,13.42,0.027142857142857142,0.0,47.57142857142857,31.714285714285715,7.925714285714286,0.04,0,55,38,3.36,37,51
20131118,3,1.895986197220484e-05,0,0,0,0,0,1,0.15,0,67,50,13.42,0.027142857142857142,0.0,47.57142857142857,31.714285714285715,7.925714285714286,0.04,0,55,38,3.36,37,51
20131119,3,4.539882871021928e-05,1,0,0,0,0,0,0,0,50,32,16.78,0.027142857142857142,0.0,49.285714285714285,32.57142857142857,8.501428571428571,0.15,0,67,50,13.42,37,51
20131119,2,1.60333493666827e-05,0,1,0,0,0,0,0,0,50,32,16.78,0.027142857142857142,0.0,49.285714285714285,32.57142857142857,8.501428571428571,0.15,0,67,50,13.42,37,51
20131119,1,1.317037193130334e-05,0,0,1,0,0,0,0,0,50,32,16.78,0.027142857142857142,0.0,49.285714285714285,32.57142857142857,8.501428571428571,0.15,0,67,50,13.42,37,51
20131119,3,2.471658317954126e-05,0,0,0,1,0,0,0,0,50,32,16.78,0.027142857142857142,0.0,49.285714285714285,32.57142857142857,8.501428571428571,0.15,0,67,50,13.42,37,51
20131119,7,4.386322194163685e-05,0,0,0,0,1,0,0,0,50,32,16.78,0.027142857142857142,0.0,49.285714285714285,32.57142857142857,8.501428571428571,0.15,0,67,50,13.42,37,51
20131119,1,6.3199539907349474e-06,0,0,0,0,0,1,0,0,50,32,16.78,0.027142857142857142,0.0,49.285714285714285,32.57142857142857,8.501428571428571,0.15,0,67,50,13.42,37,51
20131120,2,3.026588580681285e-05,1,0,0,0,0,0,0,0,43,29,9.62,0.027142857142857142,0.0,48.0,32.42857142857143,8.18142857142857,0,0,50,32,16.78,37,50
20131120,1,8.01667468334135e-06,0,1,0,0,0,0,0,0,43,29,9.62,0.027142857142857142,0.0,48.0,32.42857142857143,8.18142857142857,0,0,50,32,16.78,37,50
20131120,4,5.268148772521336e-05,0,0,1,0,0,0,0,0,43,29,9.62,0.027142857142857142,0.0,48.0,32.42857142857143,8.18142857142857,0,0,50,32,16.78,37,50
20131120,0,0.0,0,0,0,1,0,0,0,0,43,29,9.62,0.027142857142857142,0.0,48.0,32.42857142857143,8.18142857142857,0,0,50,32,16.78,37,50
20131120,3,1.8798523689272935e-05,0,0,0,0,1,0,0,0,43,29,9.62,0.027142857142857142,0.0,48.0,32.42857142857143,8.18142857142857,0,0,50,32,16.78,37,50
20131120,3,1.895986197220484e-05,0,0,0,0,0,1,0,0,43,29,9.62,0.027142857142857142,0.0,48.0,32.42857142857143,8.18142857142857,0,0,50,32,16.78,37,50
20131121,1,1.5132942903406426e-05,1,0,0,0,0,0,0,0,48,29,6.93,0.027142857142857142,0.0,46.0,31.142857142857142,7.925714285714285,0,0,43,29,9.62,36,50
20131121,0,0.0,0,1,0,0,0,0,0,0,48,29,6.93,0.027142857142857142,0.0,46.0,31.142857142857142,7.925714285714285,0,0,43,29,9.62,36,50
20131121,4,5.268148772521336e-05,0,0,1,0,0,0,0,0,48,29,6.93,0.027142857142857142,0.0,46.0,31.142857142857142,7.925714285714285,0,0,43,29,9.62,36,50
20131121,2,1.6477722119694175e-05,0,0,0,1,0,0,0,0,48,29,6.93,0.027142857142857142,0.0,46.0,31.142857142857142,7.925714285714285,0,0,43,29,9.62,36,50
20131121,4,2.5064698252363914e-05,0,0,0,0,1,0,0,0,48,29,6.93,0.027142857142857142,0.0,46.0,31.142857142857142,7.925714285714285,0,0,43,29,9.62,36,50
20131121,5,3.159976995367474e-05,0,0,0,0,0,1,0,0,48,29,6.93,0.027142857142857142,0.0,46.0,31.142857142857142,7.925714285714285,0,0,43,29,9.62,36,50
20131122,4,6.05317716136257e-05,1,0,0,0,0,0,0.25,0,48,42,4.92,0.06285714285714286,0.0,44.42857142857143,31.428571428571427,7.861428571428571,0,0,48,29,6.93,36,50
20131122,3,2.405002405002405e-05,0,1,0,0,0,0,0.25,0,48,42,4.92,0.06285714285714286,0.0,44.42857142857143,31.428571428571427,7.861428571428571,0,0,48,29,6.93,36,50
20131122,3,3.951111579391002e-05,0,0,1,0,0,0,0.25,0,48,42,4.92,0.06285714285714286,0.0,44.42857142857143,31.428571428571427,7.861428571428571,0,0,48,29,6.93,36,50
20131122,4,3.295544423938835e-05,0,0,0,1,0,0,0.25,0,48,42,4.92,0.06285714285714286,0.0,44.42857142857143,31.428571428571427,7.861428571428571,0,0,48,29,6.93,36,50
20131122,2,1.2532349126181957e-05,0,0,0,0,1,0,0.25,0,48,42,4.92,0.06285714285714286,0.0,44.42857142857143,31.428571428571427,7.861428571428571,0,0,48,29,6.93,36,50
20131122,4,2.527981596293979e-05,0,0,0,0,0,1,0.25,0,48,42,4.92,0.06285714285714286,0.0,44.42857142857143,31.428571428571427,7.861428571428571,0,0,48,29,6.93,36,50
20131123,2,3.026588580681285e-05,1,0,0,0,0,0,0,0,50,31,16.11,0.05714285714285715,0.0,43.714285714285715,30.428571428571427,9.682857142857143,0.25,0,48,42,4.92,36,49
